-0.900000 -0.149700 0.060900  -0.696000 -0.664000 0.232000
-0.950000 -0.110600 0.060900  -0.432000 -0.856000 0.248000
-0.900000 -0.127600 0.121900  -0.608000 -0.704000 0.344000
-0.950000 -0.100400 0.101700  -0.400000 -0.872000 0.264000
-0.939400 -0.100400 0.121900  -0.456000 -0.816000 0.336000
-0.950000 -0.095300 0.121900  -0.400000 -0.864000 0.280000
-0.900000 -0.100400 0.174900  -0.400000 -0.624000 0.656000
-0.950000 -0.074300 0.182900  -0.344000 -0.776000 0.520000
-0.900000 -0.094400 0.182900  -0.312000 -0.608000 0.720000
-0.950000 -0.050200 0.212200  0.160000 -0.384000 0.904000
-0.900000 -0.050200 0.208600  0.200000 -0.168000 0.960000
-0.950000 0.000000 0.224500  0.344000 -0.144000 0.920000
-0.900000 0.000000 0.204000  0.296000 0.088000 0.944000
-0.900000 -0.050200 0.208600  0.200000 -0.168000 0.960000
-0.850000 0.000000 0.186200  0.256000 0.144000 0.952000
-0.850000 -0.050200 0.193400  0.200000 0.072000 0.968000
-0.900000 -0.050200 0.208600  0.200000 -0.168000 0.960000
-0.850000 -0.100400 0.192600  -0.136000 -0.312000 0.936000
-0.900000 -0.094400 0.182900  -0.312000 -0.608000 0.720000
-0.886800 -0.100400 0.182900  -0.288000 -0.576000 0.752000
-0.900000 -0.100400 0.174900  -0.400000 -0.624000 0.656000
-0.850000 -0.137400 0.182900  -0.304000 -0.312000 0.896000
-0.900000 -0.127600 0.121900  -0.608000 -0.704000 0.344000
-0.850000 -0.150600 0.175600  -0.632000 -0.392000 0.664000
-0.878400 -0.150600 0.121900  -0.736000 -0.560000 0.368000
-0.850000 -0.200800 0.125700  -0.776000 -0.360000 0.504000
-0.851500 -0.200800 0.121900  -0.832000 -0.360000 0.408000
-0.850000 -0.203500 0.121900  -0.792000 -0.528000 0.288000
-0.869300 -0.200800 0.060900  -0.824000 -0.496000 0.248000
-0.850000 -0.233200 0.060900  -0.816000 -0.512000 0.248000
-0.882700 -0.200800 0.000000  -0.840000 -0.496000 0.192000
-0.850000 -0.251000 0.014600  -0.800000 -0.560000 0.176000
-0.852600 -0.251000 0.000000  -0.800000 -0.568000 0.168000
-0.850000 -0.254700 0.000000  -0.800000 -0.568000 0.168000
-0.860100 -0.251000 -0.060900  -0.808000 -0.568000 0.112000
-0.850000 -0.265600 -0.060900  -0.808000 -0.568000 0.104000
-0.866600 -0.251000 -0.121900  -0.808000 -0.576000 0.072000
-0.850000 -0.274400 -0.121900  -0.816000 -0.568000 0.008000
-0.864200 -0.251000 -0.182900  -0.800000 -0.592000 0.000000
-0.850000 -0.271300 -0.182900  -0.816000 -0.568000 0.032000
-0.869200 -0.251000 -0.243900  -0.768000 -0.600000 0.200000
-0.850000 -0.276800 -0.243900  -0.792000 -0.552000 0.248000
-0.891700 -0.251000 -0.304800  -0.808000 -0.512000 -0.264000
-0.850000 -0.301200 -0.293400  -0.744000 -0.560000 0.336000
-0.854400 -0.301200 -0.304800  -0.776000 -0.608000 0.112000
-0.850000 -0.306900 -0.304800  -0.768000 -0.624000 0.072000
-0.850000 -0.301200 -0.321900  -0.728000 -0.616000 -0.280000
-0.854400 -0.301200 -0.304800  -0.776000 -0.608000 0.112000
-0.850000 -0.251000 -0.359600  -0.320000 0.248000 -0.912000
-0.891700 -0.251000 -0.304800  -0.808000 -0.512000 -0.264000
-0.891700 -0.251000 -0.304800  -0.808000 -0.512000 -0.264000
-1.000000 0.100400 0.207000  0.040000 0.608000 0.784000
-1.000000 0.100400 0.207000  0.040000 0.608000 0.784000
-0.950000 0.100400 0.204500  0.176000 0.504000 0.840000
-1.000000 0.136100 0.182900  0.152000 0.600000 0.776000
-0.950000 0.127100 0.182900  0.248000 0.536000 0.800000
-1.000000 0.150600 0.170300  0.208000 0.568000 0.792000
-0.950000 0.150600 0.154300  0.208000 0.640000 0.736000
-1.000000 0.192500 0.121900  0.192000 0.664000 0.720000
-0.950000 0.178500 0.121900  0.272000 0.648000 0.704000
-1.000000 0.200800 0.112700  0.192000 0.656000 0.720000
-0.950000 0.200800 0.096100  0.208000 0.672000 0.704000
-1.000000 0.241600 0.060900  0.248000 0.768000 0.584000
-0.950000 0.226300 0.060900  0.264000 0.760000 0.584000
-1.000000 0.251000 0.045400  0.264000 0.768000 0.568000
-0.950000 0.251000 0.016800  0.288000 0.808000 0.504000
-1.000000 0.274600 0.000000  0.264000 0.848000 0.448000
-0.950000 0.258900 0.000000  0.296000 0.848000 0.432000
-1.000000 0.294800 -0.060900  0.312000 0.944000 0.080000
-0.950000 0.277400 -0.060900  0.336000 0.928000 0.080000
-1.000000 0.286500 -0.121900  0.328000 0.872000 -0.344000
-0.950000 0.267200 -0.121900  0.344000 0.864000 -0.336000
-1.000000 0.256900 -0.182900  0.288000 0.752000 -0.584000
-0.950000 0.251000 -0.157200  0.320000 0.808000 -0.480000
-0.985000 0.251000 -0.182900  0.288000 0.752000 -0.576000
-0.950000 0.237800 -0.182900  0.296000 0.760000 -0.568000
-1.000000 0.251000 -0.191500  0.280000 0.728000 -0.616000
-0.950000 0.200800 -0.231900  0.272000 0.640000 -0.704000
-1.000000 0.207900 -0.243900  0.232000 0.640000 -0.728000
-0.980800 0.200800 -0.243900  0.232000 0.632000 -0.736000
-1.000000 0.200800 -0.251300  0.232000 0.624000 -0.736000
-0.950000 0.189400 -0.243900  0.264000 0.616000 -0.728000
-1.000000 0.150600 -0.296000  0.168000 0.544000 -0.816000
-0.950000 0.150600 -0.281200  0.240000 0.600000 -0.752000
-1.000000 0.137800 -0.304800  0.104000 0.472000 -0.872000
-0.950000 0.126000 -0.304800  0.168000 0.528000 -0.824000
-1.000000 0.100400 -0.326700  0.072000 0.384000 -0.912000
-0.950000 0.100400 -0.325900  0.192000 0.384000 -0.896000
-1.000000 0.050200 -0.349300  0.080000 0.216000 -0.968000
-0.950000 0.050200 -0.340200  0.184000 0.072000 -0.976000
-1.000000 0.000000 -0.357700  0.216000 -0.064000 -0.968000
-0.950000 0.000000 -0.337100  0.184000 -0.088000 -0.976000
-1.000000 -0.050200 -0.339100  0.152000 -0.176000 -0.968000
-0.950000 -0.050200 -0.337400  0.088000 0.008000 -0.992000
-1.000000 -0.100400 -0.332000  -0.256000 -0.392000 -0.880000
-0.950000 -0.100400 -0.349400  -0.088000 -0.160000 -0.976000
-0.950000 -0.050200 -0.337400  0.088000 0.008000 -0.992000
-0.900000 -0.100400 -0.346700  0.112000 -0.048000 -0.984000
-0.900000 -0.050200 -0.330000  0.160000 0.128000 -0.976000
-0.850000 -0.100400 -0.332400  0.280000 0.112000 -0.952000
-0.850000 -0.050200 -0.323400  0.248000 0.176000 -0.944000
-0.800000 -0.100400 -0.313000  0.368000 0.216000 -0.896000
-0.808200 -0.050200 -0.304800  0.280000 0.136000 -0.944000
-0.800000 -0.066700 -0.304800  0.296000 0.144000 -0.936000
-0.800000 -0.050200 -0.302200  0.264000 0.120000 -0.952000
-0.785000 -0.100400 -0.304800  0.328000 0.224000 -0.912000
-0.750000 -0.050200 -0.287100  0.288000 0.040000 -0.952000
-0.750000 -0.100400 -0.291100  0.336000 0.256000 -0.896000
-0.700000 -0.050200 -0.272000  0.360000 0.104000 -0.920000
-0.700000 -0.100400 -0.274700  0.392000 0.112000 -0.904000
-0.650000 -0.050200 -0.249300  0.496000 0.208000 -0.840000
-0.650000 -0.100400 -0.251900  0.448000 0.224000 -0.856000
-0.642900 -0.050200 -0.243900  0.560000 0.208000 -0.792000
-0.638400 -0.100400 -0.243900  0.560000 0.160000 -0.808000
-0.606100 -0.050200 -0.182900  0.864000 0.248000 -0.424000
-0.600000 -0.100400 -0.193800  0.776000 0.296000 -0.544000
-0.600000 -0.077900 -0.182900  0.856000 0.208000 -0.464000
-0.606100 -0.050200 -0.182900  0.864000 0.248000 -0.424000
-0.600000 -0.050200 -0.162700  0.904000 0.232000 -0.344000
-0.621400 0.000000 -0.182900  0.848000 0.280000 -0.440000
-0.600000 -0.008200 -0.121900  0.848000 0.208000 -0.472000
-0.601900 0.000000 -0.121900  0.848000 0.208000 -0.472000
-0.600000 0.000000 -0.117700  0.848000 0.200000 -0.488000
-0.614300 0.050200 -0.121900  0.720000 0.480000 -0.480000
-0.600000 0.050200 -0.083400  0.800000 0.528000 -0.248000
-0.650000 0.089500 -0.121900  0.728000 0.552000 -0.384000
-0.600000 0.057600 -0.060900  0.728000 0.536000 0.408000
-0.650000 0.100400 -0.098000  0.720000 0.624000 -0.288000
-0.638000 0.100400 -0.060900  0.672000 0.632000 0.368000
-0.650000 0.112000 -0.060900  0.672000 0.704000 0.200000
-0.650000 0.100400 -0.043200  0.600000 0.608000 0.496000
-0.689800 0.150600 -0.060900  0.640000 0.736000 0.192000
-0.680200 0.100400 0.000000  0.600000 0.440000 0.656000
-0.700000 0.150600 -0.043600  0.552000 0.712000 0.424000
-0.700000 0.121800 0.000000  0.536000 0.544000 0.632000
-0.734000 0.150600 0.000000  0.496000 0.640000 0.576000
-0.700000 0.100400 0.019100  0.504000 0.504000 0.688000
-0.750000 0.150600 0.014500  0.472000 0.624000 0.608000
-0.744800 0.100400 0.060900  0.496000 0.456000 0.728000
-0.750000 0.106000 0.060900  0.496000 0.464000 0.728000
-0.750000 0.100400 0.065100  0.488000 0.448000 0.736000
-0.796300 0.150600 0.060900  0.512000 0.584000 0.616000
-0.800000 0.100400 0.105500  0.480000 0.456000 0.736000
-0.800000 0.150600 0.064100  0.424000 0.560000 0.704000
-0.820700 0.100400 0.121900  0.496000 0.488000 0.704000
-0.850000 0.150600 0.098600  0.360000 0.600000 0.704000
-0.850000 0.127100 0.121900  0.424000 0.560000 0.704000
-0.892900 0.150600 0.121900  0.360000 0.624000 0.680000
-0.850000 0.100400 0.150400  0.488000 0.512000 0.696000
-0.900000 0.150600 0.126400  0.344000 0.632000 0.688000
-0.897500 0.100400 0.182900  0.392000 0.408000 0.816000
-0.900000 0.101900 0.182900  0.304000 0.552000 0.768000
-0.900000 0.100400 0.184100  0.296000 0.408000 0.856000
-0.950000 0.127100 0.182900  0.248000 0.536000 0.800000
-0.950000 0.100400 0.204500  0.176000 0.504000 0.840000
-0.950000 0.100400 0.204500  0.176000 0.504000 0.840000
-0.886800 -0.100400 0.182900  -0.288000 -0.576000 0.752000
-0.886800 -0.100400 0.182900  -0.288000 -0.576000 0.752000
-0.850000 -0.100400 0.192600  -0.136000 -0.312000 0.936000
-0.850000 -0.137400 0.182900  -0.304000 -0.312000 0.896000
-0.850000 -0.137400 0.182900  -0.304000 -0.312000 0.896000
-0.800000 -0.100400 0.186900  0.104000 0.048000 0.992000
-0.800000 -0.100400 0.186900  0.104000 0.048000 0.992000
-0.800000 -0.063400 0.182900  0.240000 0.160000 0.952000
-0.776900 -0.100400 0.182900  0.184000 0.120000 0.968000
-0.800000 -0.050200 0.179900  0.264000 0.176000 0.944000
-0.750000 -0.100400 0.174700  0.320000 0.192000 0.920000
-0.750000 -0.050200 0.155100  0.464000 0.288000 0.832000
-0.700000 -0.100400 0.138900  0.488000 0.288000 0.816000
-0.708600 -0.050200 0.121900  0.496000 0.344000 0.784000
-0.700000 -0.062200 0.121900  0.504000 0.344000 0.784000
-0.700000 -0.050200 0.115300  0.496000 0.344000 0.792000
-0.677900 -0.100400 0.121900  0.528000 0.328000 0.776000
-0.650000 -0.050200 0.076400  0.576000 0.320000 0.744000
-0.650000 -0.100400 0.096100  0.592000 0.288000 0.744000
-0.635700 -0.050200 0.060900  0.640000 0.304000 0.696000
-0.612900 -0.100400 0.060900  0.624000 0.376000 0.672000
-0.600000 -0.050200 0.018400  0.648000 0.320000 0.688000
